DateTime,Severity,Message,Source
"October 23, 2024 04:53:57 AM UTC",Error,"Unexpected Server Error: 'SQL Error (102) Incorrect syntax near ')'.'. 
Use Event Viewer to see the PI AF Server log file for more information.",OSIsoft-PIDataServices
"October 23, 2024 01:19:26 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"October 23, 2024 01:22:36 PM UTC",Error,[-10723] PINET: No Connection.,OSIsoft-PIDataServices
"October 23, 2024 01:22:36 PM UTC",Error,"Value cannot be null.
Parameter name: point",OSIsoft-PIDataServices
"October 23, 2024 01:22:36 PM UTC",Error,Object reference not set to an instance of an object.,OSIsoft-PIDataServices
"October 23, 2024 01:32:02 PM UTC",Error,Cannot connect to server 'CVG1DDHAF01'.,OSIsoft-PIDataServices
"October 23, 2024 02:56:58 PM UTC",Error,"Unexpected Server Error: 'SQL Error (102) Incorrect syntax near ')'.'. 
Use Event Viewer to see the PI AF Server log file for more information.",OSIsoft-PIDataServices
"October 25, 2024 05:33:49 PM UTC",Error,"The PI AF Server cannot connect to specified SQL Server. A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)",OSIsoft-PIDataServices
"October 25, 2024 05:34:18 PM UTC",Error,"The PI AF Server cannot connect to specified SQL Server. A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)",OSIsoft-PIDataServices
"October 25, 2024 07:23:51 PM UTC",Error,"Unexpected Server Error: 'SQL Error (102) Incorrect syntax near ')'.'. 
Use Event Viewer to see the PI AF Server log file for more information.",OSIsoft-PIDataServices
"October 28, 2024 05:37:00 PM UTC",Error,[-12301] Performance Equation parsing error,OSIsoft-PIDataServices
"October 28, 2024 05:37:00 PM UTC",Error,[-12301] Performance Equation parsing error,OSIsoft-PIDataServices
"October 28, 2024 05:37:00 PM UTC",Error,[-12301] Performance Equation parsing error,OSIsoft-PIDataServices
"October 28, 2024 05:37:00 PM UTC",Error,[-12301] Performance Equation parsing error,OSIsoft-PIDataServices
"October 28, 2024 06:58:55 PM UTC",Error,Safe handle has been closed,OSIsoft-PIDataServices
"October 28, 2024 07:11:31 PM UTC",Error,Safe handle has been closed,OSIsoft-PIDataServices
"October 30, 2024 12:40:52 PM UTC",Error,[-12301] Performance Equation parsing error,OSIsoft-PIDataServices
"October 30, 2024 12:40:52 PM UTC",Error,[-12301] Performance Equation parsing error,OSIsoft-PIDataServices
"October 30, 2024 12:40:52 PM UTC",Error,[-12301] Performance Equation parsing error,OSIsoft-PIDataServices
"October 30, 2024 12:40:52 PM UTC",Error,[-12301] Performance Equation parsing error,OSIsoft-PIDataServices
"October 30, 2024 12:44:57 PM UTC",Error,Cannot complete the operation because the user does not have rights to read PI AF Server 'CVG1VDHAF01' with UniqueID '534e1d04-249b-4d67-be3f-23463bac9b1c'.,OSIsoft-PIDataServices
"October 30, 2024 01:33:41 PM UTC",Error,[-12301] Performance Equation parsing error,OSIsoft-PIDataServices
"October 30, 2024 01:33:41 PM UTC",Error,[-12301] Performance Equation parsing error,OSIsoft-PIDataServices
"October 30, 2024 01:33:41 PM UTC",Error,[-12301] Performance Equation parsing error,OSIsoft-PIDataServices
"October 30, 2024 01:33:41 PM UTC",Error,[-12301] Performance Equation parsing error,OSIsoft-PIDataServices
"October 30, 2024 06:20:34 PM UTC",Error,[-12301] Performance Equation parsing error,OSIsoft-PIDataServices
"October 30, 2024 06:20:34 PM UTC",Error,[-12301] Performance Equation parsing error,OSIsoft-PIDataServices
"October 30, 2024 06:20:34 PM UTC",Error,[-12301] Performance Equation parsing error,OSIsoft-PIDataServices
"October 30, 2024 06:20:34 PM UTC",Error,[-12301] Performance Equation parsing error,OSIsoft-PIDataServices
"November 04, 2024 01:17:26 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"November 04, 2024 02:39:36 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"November 04, 2024 06:14:21 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"November 04, 2024 06:14:40 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"November 04, 2024 07:23:50 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"November 04, 2024 07:24:29 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"November 04, 2024 07:28:50 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"November 04, 2024 07:29:07 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"November 04, 2024 07:29:23 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"November 04, 2024 07:35:54 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"November 04, 2024 07:36:59 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
